Message,CM,AOPV,CDACT,TI,TTBF,Response
havent fl year alot faggot low life cuban alot faggot friend life south beach building apartment beach visiting late night walked beach go smoke cigarette happened walk right fag fcking didnt see coming shook head truned around went back upstaires think kicking sand face didnt feel like going naked fag,1.5,2.5,3.333333333,1.5,2.833333333,"CM Hate Score: 1.5
AOPV Hate Score: 2.5
CDACT Hate Score: 3.333333333
TI Hate Score: 1.5
TTBF Hate Score: 2.833333333
"
never assimilate jew stick sore thumb reason jew destroy subvert society cancer across white world,1.666666667,1.0,4.333333333,4.666666667,1.0,"CM Hate Score: 1.666666667
AOPV Hate Score: 1.0
CDACT Hate Score: 4.333333333
TI Hate Score: 4.666666667
TTBF Hate Score: 1.0
"
filth like barron belong chain office,2.0,1.0,3.0,1.0,1.166666667,"CM Hate Score: 2.0
AOPV Hate Score: 1.0
CDACT Hate Score: 3.0
TI Hate Score: 1.0
TTBF Hate Score: 1.166666667
"
snip stop trolling prowhite fag huh thats oxymoron disgusting piece garbage thats spit yer grave,1.0,1.166666667,3.166666667,1.0,2.0,"CM Hate Score: 1.0
AOPV Hate Score: 1.166666667
CDACT Hate Score: 3.166666667
TI Hate Score: 1.0
TTBF Hate Score: 2.0
"
attack thank honesty right whole thing make sick foreigner laugh kill em em think repay kind kind hippy tree hugger need reply sick bunch pussy ought bomb em kill woman baby like estimated without provocation le war total war ever understand serious killing without mercy prisoner immigrant pestilence within without cannot abated john brown put quite certain crime guilty cannot purged land blood exact quote applicable none le god save country god bless flag countrymay god american lost thier life horrible tragedy p hippie tree hugger exerpt applies tho klinton liberal san francisco faggot probably secretly happy clinton new stogie whole mess yes ranting appologize truth common sense must prevail thank,3.5,6.0,5.166666667,5.5,1.333333333,"CM Hate Score: 3.5
AOPV Hate Score: 6.0
CDACT Hate Score: 5.166666667
TI Hate Score: 5.5
TTBF Hate Score: 1.333333333
"
attack sorry man read thing roung im fag,1.0,1.0,2.666666667,1.0,1.0,"CM Hate Score: 1.0
AOPV Hate Score: 1.0
CDACT Hate Score: 2.666666667
TI Hate Score: 1.0
TTBF Hate Score: 1.0
"
explode attack saw nig lovining highschool girl neighborhood ruining life told long argument still hang around worthless black trash white guy acting like black trash emulate nig sport player think parent blame instilling white pride school brainwash people come cant brainwash screw monkey people vision pride rest stupid sheep must survive unite somehow lay straight,1.833333333,1.0,3.833333333,4.166666667,2.666666667,"CM Hate Score: 1.833333333
AOPV Hate Score: 1.0
CDACT Hate Score: 3.833333333
TI Hate Score: 4.166666667
TTBF Hate Score: 2.666666667
"
mudsharks intermarriage u year loving v virginia pew research center white millenials married yearly interracial marriage utilizing dividing factor thats whole lot mudsharks true noted millenials married know many white fag generation z latest gen z news research fact strategy business insider study say two third gen z straight one third thats whole bunch faggot walking around yikes,1.4,1.0,4.2,1.0,1.4,"CM Hate Score: 1.4
AOPV Hate Score: 1.0
CDACT Hate Score: 4.2
TI Hate Score: 1.0
TTBF Hate Score: 1.4
"
quote originally posted one disgusted white boy let get couple misconseptions straight hear everyone sayinglets send african american back africa deport mexican american back mexico great country meant beok obviously someone cousindad didnt wake school day went american history america meant place everyone could come together fear looked upon religion race however long white people came people occupied land thats right nativeamericans want get misconception straight native american first come indian america came asia however indian eastern north america asian european mix white european time asian savage early white settler prior columbus point numbered asian namades happened asiatic savage killed white men let woman live could breed many original native american part white begin much argument white first,2.0,1.0,4.833333333,2.833333333,1.666666667,"CM Hate Score: 2.0
AOPV Hate Score: 1.0
CDACT Hate Score: 4.833333333
TI Hate Score: 2.833333333
TTBF Hate Score: 1.666666667
"
quote originally posted sickle cell bblacks car horn go honkey honkey white chainsaw go run nigga nigga run nigga nigga nigga jump thanks laugh,1.0,4.333333333,3.0,1.0,3.166666667,"CM Hate Score: 1.0
AOPV Hate Score: 4.333333333
CDACT Hate Score: 3.0
TI Hate Score: 1.0
TTBF Hate Score: 3.166666667
"
quotejosephinetheyre necessarily homosexual theyre mostly kind dumb dont discriminate warm wet holesquote long time view thing bisexual faggot faggot faggot even go way yeah guess negro case tiny brain coupled abundance testosterone leading primal urge stick thing somewhere anywhere gross grossly understating,1.0,1.0,4.0,1.0,2.833333333,"CM Hate Score: 1.0
AOPV Hate Score: 1.0
CDACT Hate Score: 4.0
TI Hate Score: 1.0
TTBF Hate Score: 2.833333333
"
one questionare insanegooksvietkhmer exept chineese chink rounder eye compared japsthey slanteyesand czech looking polish germanif seen nignog noway im going able say africa america stay whitewhite bone,1.0,1.0,4.0,2.5,1.666666667,"CM Hate Score: 1.0
AOPV Hate Score: 1.0
CDACT Hate Score: 4.0
TI Hate Score: 2.5
TTBF Hate Score: 1.666666667
"
