MessageNumber,Message,English,MessageID,CM_1,CM_2,CM_3,CM_4,CM_5,CM_6,AOPV_1,AOPV_2,AOPV_3,AOPV_4,AOPV_5,AOPV_6,CDACT_1,CDACT_2,CDACT_3,CDACT_4,CDACT_5,CDACT_6,TI_1,TI_2,TI_3,TI_4,TI_5,TI_6,TTBF_1,TTBF_2,TTBF_3,TTBF_4,TTBF_5,TTBF_6,MessageNumber2,Hate,Year,CM,AOPV,CDACT,TI,TTBF
2,"""I haven't been in FL for a few years. Are there alot of faggots and low life cubans there?"" 
 
Are there alot of faggots there? 
 
I have a friend who lives on South Beach. His building apartment is on the beach. Once when I was visiting, late at night I walked out to the beach to go smoke a cigarette. What happened? I walk right into 2 fags f*cking!! I didn't see it coming. 
I shook my head, truned around and went back upstaires. I should have, and did think of, kicking sand in their faces but I didn't feel like going at it with 2 naked fags!!",1,2,1,3,2,1,1,1,4,4,2,2,2,1,3,3,3,5,3,3,1,1,4,1,1,1,2,2,1,5,2,5,2,0.908,2001,1.5,2.5,3.333333333,1.5,2.833333333
3,(((They))) will never assimilate. Jews stick out by a sore thumb for a reason. Jews destroy and subvert our society and are a cancer all across the White world.,1,3,1,2,1,2,2,2,1,1,1,1,1,1,5,5,3,5,3,5,1,6,6,5,4,6,1,1,1,1,1,1,3,0.904,2020,1.666666667,1,4.333333333,4.666666667,1
4,"****** filth like Barron belong in chains, not office.",1,4,1,1,2,2,3,3,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,2,1,1,4,0.892,2001,2,1,3,1,1.166666667
6,"..<snip> 
 
Stop trolling. 
A pro-White fag, huh! That's an oxymoron. 
 
Disgusting piece of garbage, that's what you are. 
 
""I spit on yer grave!""",1,6,1,1,1,1,1,1,1,2,1,1,1,1,3,3,3,3,4,3,1,1,1,1,1,1,1,2,2,3,1,3,6,0.91,2020,1,1.166666667,3.166666667,1,2
7,":attack I thank you for your honesty. right on!!!!!!! this whole thing makes me sick, and the foreigners just laugh? KILL EM!! ALL of em!!!!!!!! I think we should repay kind with kind and you hippies and tree huggers need not reply you sick bunch of pussies!!!!! we ought to bomb em over there and kill them, their women AND babies just like they did the 30,000 + estimated over here; and without provocation no less!!!!!! war; TOTAL war is all they will ever understand and until we do some serious killing without mercy ,no prisoners this ""immigrant"" pestilence within and without cannot be abated. as John Brown put it"" I am now quite certain that the crimes of the guilty cannot be purged from this land but by blood"" this is not the exact quote, but applicable none the less. GOD save this country and GOD bless our flag and country.may GOD be with those Americans who lost thier lives in this horrible tragedy. P.S., the hippie and tree hugger exerpt only applies to thos Klinton liberals and San Francisco faggots that are probably secretly happy as clinton with a new stogie over this whole mess. yes I am ranting; i aPPOLOGIZE , BUT TRUTH AND COMMON SENSE MUST PREVAIL. THANK YOU...",1,7,1,3,3,5,6,3,6,6,6,6,6,6,6,3,6,5,6,5,6,5,6,5,5,6,1,1,1,2,1,2,7,0.9,2001,3.5,6,5.166666667,5.5,1.333333333
8,:attack sorry man i read your thing roung no im not a fag,1,8,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,8,0.889,2001,1,1,2.666666667,1,1
9,":explode         :attack  
 
 
I just saw a nig lovining highschool girl in the neighborhood who is ruining her life and I told her in a long argument.  She still hangs around worthless black trash.  Why not -- the white guys are acting like black trash and emulate the nig sports players.  I think the parents are to blame for not instilling white pride!  The schools brainwash people, but come on, you can;t brainwash me to screw a monkey.  Some people have vision and pride, the rest are stupid sheep.  The few must survive and unite somehow.   
 
88  -- lay them straight!!",1,9,2,3,1,1,1,3,1,1,1,1,1,1,3,4,3,5,3,5,4,4,3,5,4,5,2,1,2,5,1,5,9,0.899,2001,1.833333333,1,3.833333333,4.166666667,2.666666667
10,"[Mud-sharks] 
 
 
 
 
 
 
 Intermarriage in the U.S. 50 Years After Loving v. Virginia | Pew Research Center 
 
 
 
 
 Of 459,900 white millenials being married yearly, 54,505 are interracial marriages utilizing 11% as a dividing factor? That's a whole lot of mudsharks if true. It should be noted that of millenials 59% are not married at all and who knows how many of them are white or not. 
 
 [Fags] 
 
 
 
 
 Generation Z: Latest Gen Z News, Research, Facts & Strategies | Business Insider 
 
 
 
 Study Says Only Two Thirds of Gen Z Is Straight 
 
 One third of 72,000,000 is 24,000,000. That's a whole bunch of faggots walking around, yikes.",1,10, ,1,2,1,1,2, ,1,1,1,1,1, ,3,5,5,3,5, ,1,1,1,1,1, ,1,1,2,1,2,10,0.905,2020,1.4,1,4.2,1,1.4
11,"[QUOTE] Originally posted by One Disgusted White Boy  
  
 
 
 
Lets get a couple of misconseptions straight here. I hear everyone on here saying...""Lets send the African Americans back to Africa, and deport the Mexican Americans back to Mexico so our great country can be how it was meant to be"".....ok obviously someones Cousin-dad didnt wake them for school on the day we went over American history. America was meant to be the place where everyone could come together and not fear being looked down upon because of religion or Race, however long before you ""white"" people came here my people occupied this land. Thats right Native-Americans.  
 
 I want to get some misconceptions straight myself. Native Americans were here first, but where did they come from? Most Indians in the Americas came from Asia. However the Indians in eastern North America were an Asian and European mix. White Europeans where here at the same time or before the asians savages. The early white settlers, prior to Columbus, were at some point out numbered by the Asian namades. When this happened the Asiatic savages killed the White men and let the women live so they could breed with them. Many of the original Native Americans were part White to begin with. So much for the argument that Whites were not here first.",1,11,1,3,1,2,3,2,1,1,1,1,1,1,6,2,6,5,5,5,3,4,3,3,3,1,4,1,1,1,1,2,11,0.89,2001,2,1,4.833333333,2.833333333,1.666666667
12,"[QUOTE] Originally posted by Sickle Cell  
[B]blacks have cars with horns that go "" Honkey - honkey "".....whites have chainsaws that go "" run nigga nigga run nigga nigga nigga ""  
 
:jump Thanks for the laugh!!!",1,12,1,1,1,1,1,1,1,5,5,5,5,5,1,3,3,4,3,4,1,1,1,1,1,1,3,4,2,3,3,4,12,0.9,2001,1,4.333333333,3,1,3.166666667
